RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
,Justin Van Duyne,CREW,MALE,12,19,0.421,-1.4,223.5,37.7,0.508,0.491,0.6
,Scott Twardoski,CREW,MALE,16,19,0.526,0.7,232.2,40.5,0.522,0.478,1.8
,CJ Washington,CREW,MALE,11,19,0.579,1.8,231.2,39,0.518,0.482,1.4
,Jason Goldenberg,CREW,MALE,9,19,0.632,4.2,227.7,38.6,0.504,0.495,0.4
,Jenna Schroeder,CREW,FEMALE,6,19,0.632,3.7,220.1,38.6,0.498,0.503,-0.2
,John Butler,CREW,MALE,7,18,0.389,-0.3,218.7,40,0.501,0.499,0.1
,Phenizee Ransom,CREW,MALE,9,18,0.444,-2.2,225.5,38.2,0.522,0.478,1.7
,Brent Barnaky,CREW,MALE,16,18,0.444,1.2,223.9,37.1,0.47,0.529,-2.2
,Marat Kogut,CREW,MALE,16,18,0.611,-3.4,230.1,41.3,0.49,0.511,-0.9
,Mousa Dagher,CREW,MALE,7,17,0.588,0.4,222.4,38.5,0.486,0.513,-1.1
,Simone Jelks,CREW,FEMALE,6,17,0.588,6.2,237.4,38.1,0.503,0.497,0.2
,Tyler Ford,CREW,MALE,11,16,0.5,1.4,232.4,39.6,0.529,0.472,2.3
,Evan Scott,CREW,MALE,7,16,0.563,-1.8,223.5,37.4,0.493,0.508,-0.6
,Nick Buchert,CREW,MALE,16,16,0.688,2.5,219.5,38.6,0.481,0.52,-1.5
,Robert Hussey,CREW,MALE,5,16,0.375,0.9,231.2,38.9,0.485,0.516,-1.2
,Eric Dalen,CREW,MALE,17,16,0.5,2.3,217.3,35.8,0.512,0.489,0.8
,Danielle Scott,CREW,MALE,0,16,0.563,-2.1,214.6,37.6,0.512,0.487,0.9
,Intae Hwang,CREW,MALE,3,16,0.5,1.8,226.9,36.7,0.496,0.504,-0.3
,J.T. Orr,CREW,MALE,16,15,0.733,2.6,221.4,38.1,0.495,0.504,-0.3
,Brandon Adair,CREW,MALE,8,15,0.467,-4.2,220.9,33.1,0.489,0.512,-0.7
,Matt Kallio,CREW,MALE,4,15,0.467,4.6,227.9,39.8,0.486,0.514,-1.1
,Ben Taylor,CREW,MALE,13,15,0.8,4.3,221,38.9,0.521,0.48,1.6
,Tre Maddox,CREW,MALE,15,15,0.4,-5.8,221.9,40.7,0.491,0.508,-0.7
,Karl Lane,CREW,MALE,15,14,0.714,8.6,223,37.4,0.489,0.51,-0.8
,Brett Nansel,CREW,MALE,11,14,0.714,6.9,227.7,35.1,0.484,0.515,-1.1
,Nate Green,CREW,MALE,7,14,0.643,0.1,227,42.2,0.513,0.487,1.1
,Brandon Schwab,CREW,MALE,5,14,0.643,2.9,216.6,35.9,0.499,0.501,-0.1
,Jonathan Sterling,CREW,MALE,8,14,0.714,2.8,225.1,41.3,0.505,0.495,0.4
,John Conley,CREW,MALE,6,14,0.286,-0.2,221.1,40.4,0.509,0.49,0.8
,Sha'Rae Mitchell,CREW,FEMALE,3,14,0.714,8,235.3,39.6,0.474,0.525,-2
,Kevin Cutler,CREW,MALE,16,14,0.5,4.6,224.4,37.8,0.533,0.467,2.5
,Che Flores,CREW,FEMALE,4,14,0.571,1.3,228.9,37.8,0.508,0.491,0.6
,Dedric Taylor,CREW,MALE,12,13,0.692,6.4,213.8,40.7,0.499,0.501,-0.1
,James Williams,CREW,MALE,16,13,0.385,1.8,221.8,37.5,0.494,0.505,-0.4
,Kevin Scott,CREW,MALE,15,13,0.462,-0.1,231.2,37.5,0.468,0.531,-2.4
,Suyash Mehta,CREW,MALE,6,13,0.615,7.6,229.5,36.4,0.533,0.467,2.4
,Matt Myers,CREW,MALE,13,12,0.667,1.6,238.8,41.1,0.501,0.499,0.1
,JD Ralls,CREW,MALE,2,12,0.417,-8.667,238.667,38.917,49.464,50.535,-0.4
,Pat Fraher,CREW,MALE,30,11,0.545,1.1,221.6,39.4,0.489,0.51,-0.8
,Tyler Ricks,CREW,MALE,4,11,0.455,2.1,222.3,38.5,0.501,0.498,0.1
,Ashley Moyer-Gleich,CREW,FEMALE,7,9,0.556,-3.2,223.4,37.2,0.502,0.499,0.1
,Brian Forte,CREW,MALE,19,7,0.714,3.1,233.1,44.9,0.487,0.512,-1.1
,Josh Tiven,CREW,MALE,16,7,0.429,-1.7,221.1,36.7,0.475,0.525,-1.9
,Curtis Blair,CREW,MALE,17,7,0.286,-6.4,223,37.4,0.481,0.519,-1.4
,Ed Malloy,CREW,MALE,23,7,0.714,4.6,222.9,36.1,0.487,0.514,-1
,Matt Boland,CREW,MALE,26,6,0.333,-0.5,232.8,38.5,0.532,0.468,2.5
,Sean Wright,CREW,MALE,20,5,0.2,-8.6,222.6,41.8,0.502,0.498,0.2
,Mark Lindsay,CREW,MALE,18,5,0.6,-0.4,236.4,37,0.514,0.486,1
,Courtney Kirkland,CREW,MALE,26,5,0.2,-8,225.6,36.2,0.569,0.431,5
,Bill Kennedy,CREW,MALE,30,5,0.8,10.2,229,39,0.523,0.477,1.8
,John Goble,CREW,MALE,18,5,0.4,-2.8,225.2,40.8,0.549,0.451,4
,Pat O'Connell,CREW,MALE,3,5,0.8,11.2,220.4,40.2,0.527,0.473,2.2
,Zach Zarba,CREW,MALE,22,4,0.75,2.3,212.8,38.8,0.496,0.503,-0.3
,Brent Haskill,CREW,MALE,3,4,0.5,-0.3,229.3,41,0.494,0.506,-0.5
,Jenna Reneau,CREW,MALE,4,4,0.75,-0.8,226.3,36.3,0.468,0.53,-2.3
,Tom Washington,CREW,MALE,34,3,0.667,10,223.3,37.3,0.572,0.429,5.3
,Derrick Collins,CREW,MALE,26,3,1,18.7,238,36.7,0.409,0.59,-6.7
,JB DeRosa,CREW,MALE,8,3,0.667,-0.3,230.3,46.3,0.518,0.482,1.7
,Michael Smith,CREW,MALE,32,3,0.667,4,225.3,37.3,0.447,0.554,-4
,David Guthrie,CREW,MALE,20,2,1,12,236,54.5,0.523,0.477,2.5
,Tyler Mirkovich,CREW,MALE,3,2,0.5,3.5,221.5,54.5,0.55,0.45,5.5
,Rodney Mott,CREW,MALE,30,2,0.5,2.5,233.5,41.5,0.482,0.518,-1.5
,Biniam Maru,CREW,MALE,2,2,0.5,3.5,246.5,31.5,49.206,50.794,-0.5
,Scott Foster,CREW,MALE,31,2,0.5,-1.5,230.5,40.5,0.519,0.481,1.5
,Agon Abazi,CREW,FEMALE,1,2,0,-9,205,42.5,54.118,45.882,3.5
,Derek Richardson,CREW,MALE,30,1,1,14,230,45,0.489,0.511,-1
,Marc Davis,CREW,MALE,26,1,1,12,198,23,0.348,0.652,-7
,Sean Corbin,CREW,MALE,32,1,0,-20,216,40,0.45,0.55,-4
